cropid	cropname	primary(1)_secondary(2)_feed(3)	Edible_(1 yes)_(0isno)_(2isnonnutritinoal)	ProductionL	TradeL	FBS ID	FBS name	group	kcal/ton	Protein(g/ton)	Fat(g/ton)	Group	Groupnum
39	Rice Fermented Beverages	2		0	1	2657	"Beverages, Fermented"	Beverages	1330000	3000	0	15 - BEVERAGES	15
41	Breakfast Cereals	2		0	1	2511	Wheat	Cereals	3890000	74000	7000	1 - CEREALS AND CEREAL PRODUCTS	1
44	Barley	1	1	1	1	2513	Barley	Cereals	3320000	110000	18000	1 - CEREALS AND CEREAL PRODUCTS	1
45	Pot Barley	2		0	1	2513	Barley	Cereals	3480000	96000	11000	1 - CEREALS AND CEREAL PRODUCTS	1
46	Barley Pearled	2		0	1	2513	Barley	Cereals	3460000	90000	14000	1 - CEREALS AND CEREAL PRODUCTS	1
47	Bran of Barley	3		0	0	2513	Barley	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
48	Barley Flour and Grits	2		0	1	2513	Barley	Cereals	3430000	92000	17000	1 - CEREALS AND CEREAL PRODUCTS	1
49	Malt	2		0	1	2513	Barley	Cereals	3680000	131000	19000	1 - CEREALS AND CEREAL PRODUCTS	1
50	Malt Extract	2		0	1	2513	Barley	Cereals	3670000	60000	0	1 - CEREALS AND CEREAL PRODUCTS	1
51	Beer of Barley	2		0	1	2656	Beer	Beverages	490000	5000	0	15 - BEVERAGES	15
56	Maize	1	1	1	1	2514	Maize	Cereals	3560000	95000	43000	1 - CEREALS AND CEREAL PRODUCTS	1
57	Germ of Maize	2		0	1	2514	Maize	Cereals	3730000	111000	385000	1 - CEREALS AND CEREAL PRODUCTS	1
58	Flour of Maize	2		0	1	2514	Maize	Cereals	3630000	84000	12000	1 - CEREALS AND CEREAL PRODUCTS	1
59	Bran of Maize	3		0	0	2514	Maize	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
60	Maize oil	2		0	1	2514	Maize	Cereals	8840000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
61	Cake of Maize	3		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
